id,job_position,number,work_addr,education_norm,specialty_norm,post_num,dept_name,timestamp,post_num_num_ratio
CD6CCC73-9ACA-49C1-ABAB-E0796B80B447,电力智能及新兴产业岗,44,"河南
四川
山东
内蒙古
以及油田业务所在地",本科、硕士研究生,储能科学与工程；氢能科学与工程；工程热物理；热能工程；能源与动力工程；新能源材料与器件；新能源科学与工程；材料科学与工程；材料化学；材料物理；金属材料工程；无机非金属材料工程；复合材料与工程；功能材料；纳米材料与技术；高分子材料与工程；材料物理与化学；材料学；材料加工工程；焊接技术与工程；高电压与绝缘技术；电力电子与电力传动；计算机科学与技术；软件工程；网络工程；信息安全；物联网工程；电子与计算机工程；数据科学与大数据技术；网络空间安全；智能科学与技术；计算机系统结构；计算机软件与理论；计算机应用技术等相近专业。,749,中原油田,2023-11-02 21:45:46,17.022727272727273
21FCE0E8-95A6-41DB-BFCC-78A9A84F53ED,地质测控工程技术岗,80,山东东营、河南濮阳、湖北武汉、湖北潜江、四川成都、四川绵阳、河南郑州、河南南阳、江苏扬州,本科、硕士研究生,"硕研：地质学、矿物学 岩石学 矿床学、地球化学、构造地质学、第四纪地质学、流体力学、工程力学、地质资源与地质工程、矿产普查与勘探、地球探测与信息技术、地质工程、油气井工程、石油与天然气工程、资源与环境（油气地球物理测井工程、石油与天然气工程、地质工程、油气井工程、海洋地质、油气地球物理工程、油气资源与地质工程、测井解释评价、矿产资源普查与勘探、地科DZGC方向）、海洋地质，海洋油气工程、地球物理学、固体地球物理学、工程热物理等专业；
机械、机械工程、机械工程及自动化、机械制造及其自动化、机械电子工程、机械设计及理论、控制科学与工程、控制理论与控制工程、检测技术与自动化装置、系统工程、模式识别与智能控制、仪器科学与技术、精密仪器及机械、仪器仪表、人工智能、自动化、测试计量技术与仪器、电气工程、电气工程及其自动化、电机与电器、电子科学与技术、物理电子学、电路与系统、电子电气工程、电子信息工程、电子信息科学与技术、电子与通信工程、新一代电子信息技术、控制工程、材料科学与技术、材料学、材料成型及控制工程、材料工程、材料工程技术、材料化学、材料科学与工程、材料物理与化学等专业；
计算机科学与技术、计算机软件与理论、计算机应用技术、软件工程、通信与信息系统、信号与信息处理、无线通信系统、光电信息工程、声学、数学、安全技术与工程等专业。
本科：地质学、地质资源与地质工程、地球化学、地球信息科学与技术、地球物理学、地质工程、勘查技术与工程、资源勘查工程、石油工程、海洋油气工程等专业；
机械工程、机械工程及自动化、机械设计制造及其自动化、材料成型及控制工程、机械电子工程、过程装备与控制工程、测控技术与仪器、电气工程及其自动化、电气工程与智能控制、自动化、电子信息工程、电子科学与技术、电子信息科学与技术、人工智能、通信工程、微电子科学与工程、信息工程、材料科学与工程、材料物理、材料化学、金属材料工程等专业；
计算机科学与技术、软件工程、网络工程、物联网工程、智能科学与技术、电子与计算机工程、声学、数学与应用数学、安全工程等专业。",1410,经纬有限公司,2023-11-02 21:45:47,17.625
D2ECF9EB-5740-4433-B23E-B58E73896792,"石油工程
科研及技术应用岗",82,以山东东营为主，以及乌鲁木齐、库尔勒、成都等城市,本科、硕士研究生,"1.石油类：油气井工程、油气田开发工程、油气储运工程、石油工程、海洋油气工程、智能采矿工程、碳储科学与工程等专业。
2.地质类：矿产普查与勘探、地球探测与信息技术、矿物学、岩石学、矿床学、构造地质学、地质资源与地质工程、矿业工程、地质工程、勘查技术与工程、资源勘查工程、智能地球探测、资源环境大数据工程、地球物理学、地质学、地球化学、地球信息科学与技术等专业。
3.海洋工程类：海洋地质、船舶与海洋结构物设计制造、海洋科学、物理海洋学、船舶与海洋工程、海洋工程与技术、海洋资源开发技术、海洋机器人、智慧海洋技术、船舶电子电气工程等专业。
4.环境科学与工程类：环境科学与工程、环境工程、环境科学、资源环境科学、资源循环科学与工程、环保设备工程等专业。
5.化学化工、材料、检验检测类：无机化学、分析化学、有机化学、高分子与物理化学、化学工程、化学工艺、化学工程与技术、材料工程、材料科学与工程、材料加工工程、工学催化、材料学、材料物理与化学；化学、应用化学、分子科学与工程、能源化学、化学测量学与技术、化学生物学、生物化学、生物科学；化学工程与工艺、能源化学工程、化工安全工程、精细化工；材料科学与工程、材料化学、材料物理、无机非金属材料工程、金属材料工程、高分子材料与工程、焊接技术与工程、复合材料与工程、复合材料成型工程、智能材料与结构、材料设计科学与工程等专业。
6.机械、力学、能源与动力类：机械设计及理论、精密仪器及机械、动力机械及工程、机械设计及理论、测试计量技术及仪器、仪器科学与技术、化工过程机械、机器人工程、流体力学、工程力学、流体力学与液压传动、液压机械与控制、液压与气动；机械工程、机械设计制造及其自动化、材料成型及控制工程、机械电子工程、过程装备与控制工程、机械工艺技术、应急装备技术与工程；工程力学、理论与应用力学；能源与动力工程、新能源科学与工程、能源动力（低碳方向）、能源服务工程、可持续能源等专业。
7.电气、仪器与自动化类：电机与电器、电力系统及其自动化、电力电子与电力传动、电工理论与新技术、电路与系统、电气工程、电子科学与技术；电气工程及其自动化、电气工程与智能控制、智能电网信息工程、电机电器智能化、智慧能源工程；测控技术与仪器、精密仪器、智能感知工程；自动化、智能装备与系统、工业智能、智能工程与创意设计等专业。
8.电子信息、计算机类：电子信息工程、电子科学与技术、通信工程、信息工程、电子信息科学与技术、海洋信息工程、智能测控工程；计算机科学与技术、软件工程、网络工程、信息安全、物联网工程、电子与计算机工程、信息与计算科学、智能科学与技术、数据科学与大数据技术、虚拟现实技术等专业。
9.安全类：安全科学与工程、安全工程等专业。
10.土木类：智能建造与技术、建筑工程技术、建筑钢结构工程技术、土木工程检测技术等专业。
11.数学类：应用数学、计算数学、数学与应用数学、数据计算及应用等专业。
12.交通运输类：物流工程专业。",1494,胜利石油工程有限公司,2023-11-02 21:45:48,18.21951219512195
F74D7E0F-4E85-4851-8079-B82EDF2052CC,石油工程技术应用（研究）岗,41,湖北、四川、重庆、新疆、陕西、沙特等,本科、硕士研究生,"本科：
1.石油工程类：石油工程、海洋石油工程、采矿工程（钻探方向）、理论与应用力学、工程力学、土木工程、测绘工程、工程造价、环境科学与工程、环境科学、环境工程、资源环境科学、安全工程等专业；
2.地质类：地质学、地质工程、地球化学、地球信息科学与技术、古生物学、勘查技术与工程、资源勘查工程、地球物理学等专业
3.化学化工类：化学、应用化学、化学生物学、分子科学与工程、能源化学、化学测量学与技术、资源化学、化学工程与工艺、能源化学工程、化工安全工程、精细化工等专业；
4.材料工程类：材料科学与工程、材料物理、材料化学、金属材料工程、无机非金属材料工程、高分子材料与工程、复合材料与工程、复合材料成型工程、材料设计科学与工程、智能材料与结构、焊接技术与工程等专业；
5.机械电仪类：机械工程、机械设计制造及其自动化、材料成型及控制工程、机械电子工程、工业设计、过程装备与控制工程、车辆工程、机械工艺技术、微机电系统工程、智能制造工程、应急装备技术与工程、测控技术与仪器、精密仪器、电气工程及其自动化、电气工程与智能控制、电机电器智能化、自动化、物理学、环保设备工程、智能测控工程、智能装备与系统、工业智能、能源与动力工程等专业；
6.计算机信息类：电子信息工程、电子科学与技术、微电子科学与工程、通信工程、信息工程、电子信息科学与技术、计算机科学与技术、光电信息科学与工程、人工智能、机器人工程、软件工程、网络工程、信息安全、物联网工程、智能科学与技术、电子与计算机工程、信息与计算机科学、数据科学与大数据技术等专业；
硕研：
1.石油工程类：石油与天然气工程、油气井工程、采矿工程（钻探方向）、固体力学、流体力学、工程力学、大地测量学与测量工程、安全技术及工程、环境科学、环境工程等专业；
2.地质类：油气田开发工程、地球探测与信息技术、地质工程、地质学、矿物学、岩石学、矿床学、古生物学与地层学、构造地质学、地质资源与地质工程等专业；
3.化学化工类：无机化学、有机化学、分析化学、物理化学（含化学物理）、高分子化学与物理、化学工程与技术、化学工程、化学工艺、生物化学、应用化学、化工过程机械等专业；
4.材料工程类：材料工程、材料科学与工程、材料物理与化学、材料学、材料加工工程等专业；
5.机械电仪类：机械工程、机械制造及其自动化、机械电子工程、机械设计及理论、车辆工程、控制理论与控制工程、检测技术与自动化装置、动力机械及工程、系统工程、控制工程、电机与电器、电路与系统、电气工程、电力系统及其自动化、电力电子与电力传动、电工理论与新技术、电子科学与技术、物理电子学、微电子学与固体电子学、电磁场与微波技术、机器人工程、仪器仪表工程、精密仪器及机械、测试计量技术及仪器、仪器科学与技术、无线电物理等专业；
6.计算机信息类：通信与信息系统、信号与信息处理、人工智能、大数据技术与工程、模拟识别与智能系统、计算机系统结构、计算机软件与理论、计算机技术、计算机应用技术、电子信息工程、信息工程、软件工程等专业",888,江汉石油工程有限公司,2023-11-02 21:45:53,21.658536585365855
228F5D27-F314-4D4A-9644-C6E8A35B15A7,物探综合技术岗,20,山东东营，河南郑州、濮阳、南阳，湖北武汉、潜江，江苏南京、扬州，四川德阳，云南昆明，湖南湘潭，海外项目,本科、硕士研究生,"物探类：地球物理学、地球探测与信息技术、资源勘查工程、矿产普查与勘探、地质工程、勘查技术与工程、海洋油气工程、石油工程、地质学、地球化学、地球信息科学与技术、石油与天然气工程等专业。
测量测绘类：测绘工程、地理空间信息工程、地理信息系统、大地测量、摄影测量与遥感等专业。
仪器机械类：自动化、测控技术与仪器、机械工程、机械设计制造、机械电子工程、过程装备与控制工程、精密仪器与机械、仪器仪表工程、电气工程等专业。
电子信息类：数学、计算机科学与技术、软件工程、信息安全、物联网工程、电子与计算机工程、通信工程、电子信息工程、电子科学与技术等专业。
安全环保类：安全工程、环境工程等专业。
交通类：航海技术、轮机工程等专业。",464,地球物理有限公司,2023-11-02 21:45:51,23.2
B1B1A22D-A32A-4373-A6C0-E8E40A30167F,市分公司加油站后备站长（平顶山）,3,平顶山分公司,本科、硕士研究生,"1.硕研：石油与天然气工程、油气储运工程、化学、化学工程与技术、安全科学与工程、环境科学与工程、土木工程、计算机科学与技术、软件工程、信息与通信工程、电子与信息、电子商务与供应链管理；
2.本科：石油工程、化学、应用化学、石油工程、油气储运工程、安全工程、环境科学、安全科学与工程类、环境工程、环境科学与工程、安全科学与工程类、能源与环境系统工程、环保设备工程、物流工程、物流管理、土木工程、地质工程、建筑学、土地资源管理、新能源科学与工程、能源与动力工程、新能源材料与器件、新能源汽车工程、能源服务工程、能源互联网工程、建筑环境与能源应用工程、计算机科学与技术、网络工程、网络与新媒体、信息与计算科学、信息安全、电子科学与技术、软件工程、信息工程、信息管理与信息技术、电子信息工程",70,河南石油分公司,2023-11-02 21:45:50,23.333333333333332
03DB3885-3E3F-4026-A28E-FE8A70CCED92,石油工程技术应用（研究）岗,35,沙特、科威特、河南、四川、重庆、新疆、河北、陕西、内蒙等,本科、硕士研究生,"本科：
1.石油工程类：石油工程、海洋石油工程、采矿工程（钻探方向）、理论与应用力学、工程力学、土木工程、测绘工程、工程造价、环境科学与工程、环境科学、环境工程、资源环境科学、安全工程等专业；
2.地质类：地质学、地质工程、地球化学、地球信息科学与技术、古生物学、勘查技术与工程、资源勘查工程、地球物理学等专业
3.化学化工类：化学、应用化学、化学生物学、分子科学与工程、能源化学、化学测量学与技术、资源化学、化学工程与工艺、能源化学工程、化工安全工程、精细化工等专业；
4.材料工程类：材料科学与工程、材料物理、材料化学、金属材料工程、无机非金属材料工程、高分子材料与工程、复合材料与工程、复合材料成型工程、材料设计科学与工程、智能材料与结构、焊接技术与工程等专业；
5.机械电仪类：机械工程、机械设计制造及其自动化、材料成型及控制工程、机械电子工程、工业设计、过程装备与控制工程、车辆工程、机械工艺技术、微机电系统工程、智能制造工程、应急装备技术与工程、测控技术与仪器、精密仪器、电气工程及其自动化、电气工程与智能控制、电机电器智能化、自动化、物理学、环保设备工程、智能测控工程、智能装备与系统、工业智能、能源与动力工程等专业；
6.计算机信息类：电子信息工程、电子科学与技术、微电子科学与工程、通信工程、信息工程、电子信息科学与技术、计算机科学与技术、光电信息科学与工程、人工智能、机器人工程、软件工程、网络工程、信息安全、物联网工程、智能科学与技术、电子与计算机工程、信息与计算机科学、数据科学与大数据技术等专业；
硕研：
1.石油工程类：石油与天然气工程、油气井工程、采矿工程（钻探方向）、固体力学、流体力学、工程力学、大地测量学与测量工程、安全技术及工程、环境科学、环境工程等专业；
2.地质类：油气田开发工程、地球探测与信息技术、地质工程、地质学、矿物学、岩石学、矿床学、古生物学与地层学、构造地质学、地质资源与地质工程等专业；
3.化学化工类：无机化学、有机化学、分析化学、物理化学（含化学物理）、高分子化学与物理、化学工程与技术、化学工程、化学工艺、生物化学、应用化学、化工过程机械等专业；
4.材料工程类：材料工程、材料科学与工程、材料物理与化学、材料学、材料加工工程等专业；
5.机械电仪类：机械工程、机械制造及其自动化、机械电子工程、机械设计及理论、车辆工程、控制理论与控制工程、检测技术与自动化装置、动力机械及工程、系统工程、控制工程、电机与电器、电路与系统、电气工程、电力系统及其自动化、电力电子与电力传动、电工理论与新技术、电子科学与技术、物理电子学、微电子学与固体电子学、电磁场与微波技术、机器人工程、仪器仪表工程、精密仪器及机械、测试计量技术及仪器、仪器科学与技术、无线电物理等专业；
6.计算机信息类：通信与信息系统、信号与信息处理、人工智能、大数据技术与工程、模拟识别与智能系统、计算机系统结构、计算机软件与理论、计算机技术、计算机应用技术、电子信息工程、信息工程、软件工程等专业",829,中原石油工程有限公司,2023-11-02 21:45:54,23.685714285714287
78E872B0-3977-48AA-8B29-A392EB440822,市分公司加油站后备站长（三门峡）,2,三门峡分公司,本科、硕士研究生,"1.硕研：石油与天然气工程、油气储运工程、会计、会计分析与审计、金融学、电子商务、电子商务与供应链管理、市场营销、计算机技术、软件工程、计算机和信息管理、工程管理；
2.本科：安全工程、市场营销、会计学、财务管理、金融与会计学、资产评估、物流管理、统计学、金融学、理财产品和金融学、网络与新媒体、软件工程、工程管理、工商管理",49,河南石油分公司,2023-11-02 21:45:57,24.5
26FCB1AF-2533-4219-B493-6322D6917A42,市分公司加油站后备站长（焦作）,3,焦作分公司,本科、硕士研究生,"1.硕研：石油与天然气工程、油气储运工程、化学、化学工程与技术、安全科学与工程、环境科学与工程、土木工程、计算机科学与技术、软件工程、信息与通信工程、电子与信息、电子商务与供应链管理；
2.本科：石油工程、化学、应用化学、石油工程、油气储运工程、安全工程、环境科学、环境工程、环境科学与工程、能源与环境系统工程、环保设备工程、物流工程、物流管理、土木工程、建筑学、土地资源管理、新能源科学与工程、能源与动力工程、新能源材料与器件、新能源汽车工程、能源服务工程、能源互联网工程、建筑环境与能源应用工程、计算机科学与技术、网络工程、网络与新媒体、信息与计算科学、信息安全、电子科学与技术、软件工程、信息工程、信息管理与信息技术、电子信息工程、财务管理、会计学、统计学、工商管理、电子商务",77,河南石油分公司,2023-11-02 21:45:55,25.666666666666668
1548917A-3469-46E7-865A-2DA724DC86A8,工程技术岗（宣城）,4,宣城,本科、硕士研究生,油气储运工程、智慧能源工程、电气工程与智能控制、氢能科学与工程、智能电网信息工程、环境工程、环境科学、环境生态工程、环保设备工程、资源环境科学、石油与天然气工程、安全工程、化学、应用化学、能源化学、资源化学、机械工程、机械设计制造及其自动化、机械电子工程、车辆工程、新能源汽车工程、材料科学与工程、材料化学、高分子材料与工程、能源与环境系统工程、新能源科学与工程、电子信息工程、仪器科学与技术、电气工程、电子科学与技术、通信工程、信息工程、人工智能、自动化、信息与通信工程、控制科学与工程、计算机科学与技术、建筑学、土木工程、水利工程、化学工程与技术、环境科学与工程、安全科学与工程、网络公共安全、机械、材料与化工、资源与环境、土木水利、能源动力、电子信息、软件工程、网络工程、信息安全、物联网工程、数字媒体技术、电子与计算机工程、数据科学与大数据技术、化学工程与工艺、能源化学工程、化工安全工程、资源环境大数据工程、石油工程、安全生产监管、应急技术与管理、职业卫生工程、消防工程、信息管理与信息系统、工程管理、工程造价、大数据管理与应用、物流管理、物流工程、信息资源管理、工业工程、数学、数学与应用数学、信息与计算科学、数据计算及应用、数据科学、统计学、经济统计学、应用统计学等相关专业,103,安徽石油分公司,2023-11-02 21:46:00,25.75
D7ACFDD4-2FDD-47CC-8980-3AFB2CA93348,技术管理岗-曹妃甸,2,曹妃甸,本科,油气储运工程类、炼油化工类、航运海事类、机械工程类、电气及自动化类、计算机类,52,联合石化公司,2023-11-02 21:45:52,26.0
39B32C56-9A0F-403E-A376-C72102476746,工程技术岗（黄山）,3,黄山,本科、硕士研究生,油气储运工程、智慧能源工程、电气工程与智能控制、氢能科学与工程、智能电网信息工程、环境工程、环境科学、环境生态工程、环保设备工程、资源环境科学、石油与天然气工程、安全工程、化学、应用化学、能源化学、资源化学、机械工程、机械设计制造及其自动化、机械电子工程、车辆工程、新能源汽车工程、材料科学与工程、材料化学、高分子材料与工程、能源与环境系统工程、新能源科学与工程、电子信息工程、仪器科学与技术、电气工程、电子科学与技术、通信工程、信息工程、人工智能、自动化、信息与通信工程、控制科学与工程、计算机科学与技术、建筑学、土木工程、水利工程、化学工程与技术、环境科学与工程、安全科学与工程、网络公共安全、机械、材料与化工、资源与环境、土木水利、能源动力、电子信息、软件工程、网络工程、信息安全、物联网工程、数字媒体技术、电子与计算机工程、数据科学与大数据技术、化学工程与工艺、能源化学工程、化工安全工程、资源环境大数据工程、石油工程、安全生产监管、应急技术与管理、职业卫生工程、消防工程、信息管理与信息系统、工程管理、工程造价、大数据管理与应用、物流管理、物流工程、信息资源管理、工业工程、数学、数学与应用数学、信息与计算科学、数据计算及应用、数据科学、统计学、经济统计学、应用统计学等相关专业,79,安徽石油分公司,2023-11-02 21:45:56,26.333333333333332
532E0B5D-EDE7-43ED-B584-F462AC8E6ED1,电气及信息管理岗,2,北京,本科、硕士研究生,电气工程、电机与电器、电力系统及其自动化、高电压与绝缘技术、电力电子与电力传动、电工理论与新技术、电子信息、电子科学与技术、信息与通信工程、计算机科学与技术、软件工程、大数据技术与工程、网络与信息安全及相关专业,54,百川公司,2023-11-02 21:46:01,27.0
533F52AF-46ED-452A-A7B5-E29F0682FF82,市分公司加油站后备站长（濮阳、中原）,3,濮阳或中原分公司,本科、硕士研究生,"1.硕研：石油与天然气工程、油气储运工程、化学、化学工程与技术、安全科学与工程、环境科学与工程、土木工程、计算机科学与技术、软件工程、信息与通信工程、电子与信息、电子商务与供应链管理；
2.本科：石油工程、化学、应用化学、石油工程、油气储运工程、安全工程、环境科学、环境工程、环境科学与工程、能源与环境系统工程、环保设备工程、物流工程、物流管理、土木工程、建筑学、土地资源管理、新能源科学与工程、能源与动力工程、新能源材料与器件、新能源汽车工程、能源服务工程、能源互联网工程、建筑环境与能源应用工程、计算机科学与技术、网络工程、网络与新媒体、信息与计算科学、信息安全、电子科学与技术、电子信息工程、财务管理、市场营销、电子商务",81,河南石油分公司,2023-11-02 21:46:02,27.0
2FDC5BE0-BBAC-4427-BD81-68765D443FA8,工程技术岗（淮北）,4,淮北,本科、硕士研究生,油气储运工程、智慧能源工程、电气工程与智能控制、氢能科学与工程、智能电网信息工程、环境工程、环境科学、环境生态工程、环保设备工程、资源环境科学、石油与天然气工程、安全工程、化学、应用化学、能源化学、资源化学、机械工程、机械设计制造及其自动化、机械电子工程、车辆工程、新能源汽车工程、材料科学与工程、材料化学、高分子材料与工程、能源与环境系统工程、新能源科学与工程、电子信息工程、仪器科学与技术、电气工程、电子科学与技术、通信工程、信息工程、人工智能、自动化、信息与通信工程、控制科学与工程、计算机科学与技术、建筑学、土木工程、水利工程、化学工程与技术、环境科学与工程、安全科学与工程、网络公共安全、机械、材料与化工、资源与环境、土木水利、能源动力、电子信息、软件工程、网络工程、信息安全、物联网工程、数字媒体技术、电子与计算机工程、数据科学与大数据技术、化学工程与工艺、能源化学工程、化工安全工程、资源环境大数据工程、石油工程、安全生产监管、应急技术与管理、职业卫生工程、消防工程、信息管理与信息系统、工程管理、工程造价、大数据管理与应用、物流管理、物流工程、信息资源管理、工业工程、数学、数学与应用数学、信息与计算科学、数据计算及应用、数据科学、统计学、经济统计学、应用统计学等相关专业,111,安徽石油分公司,2023-11-02 21:45:58,27.75
A42AE3F3-B671-42E9-98B0-7F4482C9DC4F,市分公司加油站后备站长（商丘）,3,商丘分公司,本科、硕士研究生,"1.硕研：石油与天然气工程、油气储运工程、会计、会计分析与审计、金融学、电子商务、电子商务与供应链管理、市场营销、计算机技术、软件工程、计算机和信息管理、工程管理；
2.本科：安全工程、市场营销、会计学、财务管理、资产评估、物流管理、统计学、金融学、理财产品和金融学、金融与会计学、软件工程、工程管理、工商管理、网络与新媒体",89,河南石油分公司,2023-11-02 21:45:59,29.666666666666668
115F9774-D18C-4CE8-A07D-6CAB48F27563,IT业务岗（东营）,9,山东东营,本科、硕士研究生,信息与计算科学、应用数学、电子信息工程、电子科学与技术、信息工程、电子信息科学与技术、计算机科学与技术、软件工程、网络工程、信息安全、智能科学与技术、人工智能、电子与计算机工程、数据科学与大数据技术、网络空间安全、保密技术、计算机网络技术、计算机系统与维护、软件技术、软件与信息服务、数字展示技术、信息安全与管理、移动应用开发、云计算技术与应用、大数据技术与应用、计算机软件与理论、计算机应用技术、软件工程类其他专业、网络空间安全类其他专业,267,共享服务公司,2023-11-02 21:46:09,29.666666666666668
